query_name,taxid,scientific_name,rank,lineage,synonyms
Aerococcus urinae,1376.0,Aerococcus urinae,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus,
Aeromicrobium,2040.0,Aeromicrobium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae,
Aeromonas,642.0,Aeromonas,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Aeromonadales; Aeromonadaceae,
Aestuariimicrobium,396388.0,Aestuariimicrobium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Propionibacteriaceae,
Afipia,1033.0,Afipia,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae,Afipia Brenner et al. 1992; Oligotropha
Aggregatibacter,416916.0,Aggregatibacter,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae,
Aggregatibacter actinomycetemcomitans,714.0,Aggregatibacter actinomycetemcomitans,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter,Actinobacillus (Haemophilus) actinomycetemcomitans; Actinobacillus actinomycetemcomitans; Bacterium acetinomycetum comitans; Bacterium actinomycetem comitans; Bacterium comitans
Aggregatibacter aphrophilus,732.0,Aggregatibacter aphrophilus,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Aggregatibacter,Haemophilus aphrophilus; Haemophilus paraphrophilus
Agrobacterium,357.0,Agrobacterium,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group,Polymonas
Akkermansia,239934.0,Akkermansia,genus,cellular organisms; Bacteria; Pseudomonadati; PVC group; Verrucomicrobiota; Verrucomicrobiia; Verrucomicrobiales; Akkermansiaceae,
Akkermansia muciniphila,239935.0,Akkermansia muciniphila,species,cellular organisms; Bacteria; Pseudomonadati; PVC group; Verrucomicrobiota; Verrucomicrobiia; Verrucomicrobiales; Akkermansiaceae; Akkermansia,
Akkermansiaceae,1647988.0,Akkermansiaceae,family,cellular organisms; Bacteria; Pseudomonadati; PVC group; Verrucomicrobiota; Verrucomicrobiia; Verrucomicrobiales,
Alcaligenaceae,506.0,Alcaligenaceae,family,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales,
Alicycliphilus,201096.0,Alicycliphilus,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Comamonadaceae,
Alicyclobacillus,29330.0,Alicyclobacillus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Alicyclobacillaceae,
Alistipes,239759.0,Alistipes,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae,
Alistipes finegoldii,214856.0,Alistipes finegoldii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,
Alistipes ihumii,1470347.0,Alistipes ihumii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,Candidatus Alistipes marseilloanorexicus
Alistipes indistinctus,626932.0,Alistipes indistinctus,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,
Alistipes obesi,2585118.0,Alistipes communis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,Alistipes obesi
Alistipes onderdonkii,328813.0,Alistipes onderdonkii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,
Alistipes putredinis,28117.0,Alistipes putredinis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,Alistipes putredinis (Weinberg et al. 1937) Rautio et al. 2003; Bacteroides putredinis (Weinberg et al. 1937) Kelly 1957 (Approved Lists 1980); Pseudobacterium putredinis; Ristella putredinis
Alistipes shahii,328814.0,Alistipes shahii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Rikenellaceae; Alistipes,
Allisonella,39948.0,Dialister,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae,Allisonella; Allisonella Garner et al. 2003
Allisonella histaminiformans,,Allisonella histaminiformans,Unknown,Unknown,
Allobaculum,174708.0,Allobaculum,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae,
Alloiococcus,1651.0,Alloiococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Carnobacteriaceae,
Alloprevotella,1283313.0,Alloprevotella,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae,
Alloprevotella rava,671218.0,Alloprevotella rava,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Alloprevotella,Prevotella sp. oral taxon 302
Alloscardovia,419014.0,Alloscardovia,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae,Metascardovia
Alloscardovia omnicolens,419015.0,Alloscardovia omnicolens,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Alloscardovia,
Alphaproteobacteria,28211.0,Alphaproteobacteria,class,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota,"Alphabacteria; Proteobacteria alpha subdivision; Purple bacteria, alpha subdivision; alpha proteobacteria; alpha subdivision"
Alternaria,5598.0,Alternaria,genus,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae,Macrospora; Macrosporium; Ulocladium
Alternaria brassicicola,29001.0,Alternaria brassicicola,species,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Pleosporaceae; Alternaria; Alternaria sect. Brassicicola,Helminthosporium brassicicola
Amaricoccus,56999.0,Amaricoccus,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae,
Aminobacterium,81466.0,Aminobacterium,genus,cellular organisms; Bacteria; Thermotogati; Synergistota; Synergistia; Synergistales; Aminobacteriaceae,
Ammoniphilus,66862.0,Ammoniphilus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Aneurinibacillus group,
Anabaena,1163.0,Anabaena,genus,cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Nostocales; Nostocaceae,
Anaerococcus,165779.0,Anaerococcus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae,
Anaerococcus lactolyticus,33032.0,Anaerococcus lactolyticus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus,Peptostreptococcus lactolyticus
Anaerococcus tetradius,33036.0,Anaerococcus tetradius,species,cellular organisms; Bacteria; Bacillati; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus,Gaffkya anaerobius; Peptostreptococcus tetradius; Tetracoccus anaerobius
Anaerococcus vaginalis,33037.0,Anaerococcus vaginalis,species,cellular organisms; Bacteria; Bacillati; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus,Peptostreptococcus vaginalis
Anaerofilum,52784.0,Anaerofilum,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae,
Anaerofustis,264995.0,Anaerofustis,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Eubacteriaceae,
Anaeroglobus,906.0,Megasphaera,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae,Anaeroglobus; Colibacter
Anaeroglobus geminatus,156456.0,Megasphaera geminata,species,cellular organisms; Bacteria; Bacillati; Bacillota; Negativicutes; Veillonellales; Veillonellaceae; Megasphaera,Anaeroglobus geminatus
Anaeromyxobacter,161492.0,Anaeromyxobacter,genus,cellular organisms; Bacteria; Pseudomonadati; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Anaeromyxobacteraceae,
Anaerosporobacter,653683.0,Anaerosporobacter,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae,
Anaerostipes,207244.0,Anaerostipes,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae,
Anaerostipes hadrus,649756.0,Anaerostipes hadrus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Anaerostipes,Eubacterium hadrum
Anaerotruncus,244127.0,Anaerotruncus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Oscillospiraceae,
Anaerovorax,109326.0,Anaerovorax,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Peptostreptococcales; Anaerovoracaceae,
Aneurinibacillus,55079.0,Aneurinibacillus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Aneurinibacillus group,
Anoxybacillus,150247.0,Anoxybacillus,genus,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Anoxybacillaceae,
Anoxybacillus kestanbolensis,227476.0,Anoxybacillus kestanbolensis,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Anoxybacillaceae; Anoxybacillus,Anoxybacillus karvacharensis
Aquabacterium,92793.0,Aquabacterium,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiales genera incertae sedis,
Aquabacterium parvum,70584.0,Aquabacterium parvum,species,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiales genera incertae sedis; Aquabacterium,
Aquicella,254245.0,Aquicella,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Legionellales; Coxiellaceae,
Arcanobacterium,28263.0,Arcanobacterium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae,
Arhtrobacter cumminsii,,Arhtrobacter cumminsii,Unknown,Unknown,
Armatimonadetes,67819.0,Armatimonadota,phylum,cellular organisms; Bacteria; Bacillati,Armatimonadaeota; Armatimonadota corrig. Tamaki et al. 2021; candidate division OP10; candidate division Obsidian Pool 10; candidate phylum OP10
Arsenicicoccus,267408.0,Arsenicicoccus,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Intrasporangiaceae,
Arthrobacter,1663.0,Arthrobacter,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae,
Arthrospira,35823.0,Arthrospira,genus,cellular organisms; Bacteria; Bacillati; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Oscillatoriophycideae; Oscillatoriales; Microcoleaceae,
Asaccharobacter,553372.0,Asaccharobacter,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae,
Ascomycota,4890.0,Ascomycota,phylum,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya,
Aspergillus,5052.0,Aspergillus,genus,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae,Chaetosartorya; Dichotomomyces; Emericella; Petromyces; Phialosimplex
Aspergillus austroafricanus,1220192.0,Aspergillus austroafricanus,species,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus,
Aspergillus clavatus,5057.0,Aspergillus clavatus,species,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus subgen. Fumigati,
Aspergillus penicillioides,41959.0,Aspergillus penicillioides,species,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Eurotiales; Aspergillaceae; Aspergillus; Aspergillus subgen. Aspergillus,"Aspergillus penicillioides Speg., 1896"
Asteroleplasma,2152.0,Asteroleplasma,genus,cellular organisms; Bacteria; Bacillati; Mycoplasmatota; Mollicutes; Anaeroplasmatales; Anaeroplasmataceae,
Atopobium,1380.0,Atopobium,genus,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae,
Atopobium parvulum,1382.0,Lancefieldella parvula,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae; Lancefieldella,Atopobium parvulum; Peptostreptococcus parvulus; Streptococcus parvulus
Atopobium vaginae,82135.0,Fannyhessea vaginae,species,cellular organisms; Bacteria; Bacillati; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae; Fannyhessea,Atopobium vaginae
Azospirillum,191.0,Azospirillum,genus,cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Azospirillaceae,
Bacillaceae,186817.0,Bacillaceae,family,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales,
Bacillus,55087.0,Bacillus,genus,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Polyneoptera; Phasmatodea; Verophasmatodea; Areolatae; Bacilloidea; Bacillidae; Bacillinae; Bacillini,
Bacillus coagulans,1398.0,Heyndrickxia coagulans,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Heyndrickxia,Bacillus coagulans; Weizmannia coagulans
Bacillus flexus,86664.0,Priestia flexa,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Priestia,Bacillus flexus
Bacillus licheniformis,1402.0,Bacillus licheniformis,species,cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group,Clostridium licheniforme; Denitrobacillus licheniformis
Bacteriodes uniformis,,Bacteriodes uniformis,Unknown,Unknown,
Bacteriodes-Prevotella,838.0,Prevotella,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae,
Bacteroidaceae,815.0,Bacteroidaceae,family,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales,
Bacteroidales,171549.0,Bacteroidales,order,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia,
Bacteroides,816.0,Bacteroides,genus,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae,Capsularis; Ristella
Bacteroides caccae,47678.0,Bacteroides caccae,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,
Bacteroides capillosus,,Bacteroides capillosus,Unknown,Unknown,
Bacteroides coprocola,310298.0,Phocaeicola coprocola,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola,Bacteroides coprocola; Phocaeicola coprocola (Kitahara et al. 2005) Garci?a-Lo?pez et al. 2020
Bacteroides coprophilus,1006423.0,Coprophilus,genus,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga; Staphyliniformia; Staphylinoidea; Staphylinidae; Oxytelinae group; Oxytelinae,
Bacteroides dorei,,Bacteroides dorei,Unknown,Unknown,
Bacteroides eggerthii,28111.0,Bacteroides eggerthii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,
Bacteroides finegoldii,338188.0,Bacteroides finegoldii,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,
Bacteroides fragilis,817.0,Bacteroides fragilis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,Bacteroides fragilis (Veillon and Zuber 1898) Castellani and Chalmers 1919 (Approved Lists 1980); Bacteroides inaequalis; Bacteroides incommunis; Bacteroides uncatus; Fusiformis fragilis
Bacteroides fragilis group,817.0,Bacteroides fragilis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,Bacteroides fragilis (Veillon and Zuber 1898) Castellani and Chalmers 1919 (Approved Lists 1980); Bacteroides inaequalis; Bacteroides incommunis; Bacteroides uncatus; Fusiformis fragilis
Bacteroides intestinalis,329854.0,Bacteroides intestinalis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,
Bacteroides massiliensis,204516.0,Phocaeicola massiliensis,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola,"""Candidatus Bacteroides massiliae"" Drancourt et al. 2004; Bacteroides massiliensis; Bacteroides massiliensis Fenner et al. 2005; Phocaeicola massiliensis (Fenner et al. 2005) Garci?a-Lo?pez et al. 2020"
Bacteroides ovatus,28116.0,Bacteroides ovatus,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,Bacteroides fragilis subsp. ovatus; Bacteroides koreensis; Bacteroides kribbi; Pasteurella ovata; Pseudobacterium ovatum
Bacteroides pectinophilus,384638.0,[Bacteroides] pectinophilus,species,cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Eubacteriales; Eubacteriales incertae sedis,Bacteroides pectinophilus
Bacteroides plebeius,310297.0,Phocaeicola plebeius,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola,Bacteroides plebeius; Phocaeicola plebeius (Kitahara et al. 2005) Garci?a-Lo?pez et al. 2020
Bacteroides salyersiae,291644.0,Bacteroides salyersiae,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,Bacteroides salyersae
Bacteroides stercoris,46506.0,Bacteroides stercoris,species,cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,
